"osm_id","type","population"
177272162,"residential",8
177272163,"residential",2
177272166,"residential",1
177272167,"residential",5
177272169,"residential",1
177272175,"residential",1
484662531,"residential",0
525496171,"residential",0
177272177,"residential",5
177272180,"residential",8
177272183,"residential",10
177272185,"residential",19
177272187,"residential",8
177272189,"residential",2
177272191,"residential",2
552479321,"downtown",18
177272193,"residential",13
177304381,"residential",9
177304401,"residential",2
178633243,"residential",1
673034829,"residential",1
178597347,"residential",3
178597348,"residential",3
178597349,"residential",4
178597350,"residential",4
178597351,"residential",3
178632068,"residential",2
178632069,"residential",3
376291260,"residential",1
376291261,"residential",1
178632079,"residential",3
178632084,"residential",5
178632086,"residential",3
178632088,"residential",3
178632090,"residential",3
178633242,"residential",1
178633244,"residential",1
488493207,"residential",1
480565805,"residential",0
480565806,"residential",3
